url,ruta,categoria,is_final
https://www.6pm.com/boys-chelsea-boots/CK_XARCz1wEYx-wBegKOBYIBA6TsBMABBOICBQECAxgP.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Boots,Chelsea Boots,Boys,5 Big Kid",Boy's Size 5 Big Kid Chelsea Boots,True
https://www.6pm.com/boys-chelsea-boots/CK_XARCz1wEYx-wBegKOBYIBA57sBMABBOICBQECAxgP.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Boots,Chelsea Boots,Boys,2 Little Kid",Boy's Size 2 Little Kid Chelsea Boots,True
https://www.6pm.com/boys-chelsea-boots/CK_XARCz1wEYx-wBegKOBYIBA6LsBMABBOICBQECAxgP.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Boots,Chelsea Boots,Boys,4 Big Kid",Boy's Size 4 Big Kid Chelsea Boots,True
https://www.6pm.com/boys-chelsea-boots/CK_XARCz1wEYx-wBegKOBYIBA5zsBMABBOICBQECAxgP.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Boots,Chelsea Boots,Boys,1 Little Kid",Boy's Size 1 Little Kid Chelsea Boots,True
https://www.6pm.com/boys-chelsea-boots/CK_XARCz1wEYx-wBegKOBYIBA6DsBMABBOICBQECAxgP.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Boots,Chelsea Boots,Boys,3 Little Kid",Boy's Size 3 Little Kid Chelsea Boots,True
https://www.6pm.com/boys-chelsea-boots/CK_XARCz1wEYx-wBegKOBYIBA5rsBMABBOICBQECAxgP.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Boots,Chelsea Boots,Boys,13 Little Kid",Boy's Size 13 Little Kid Chelsea Boots,True
https://www.6pm.com/boys-chelsea-boots/CK_XARCz1wEYx-wBegKOBYIBA-faA8ABBOICBQECAxgP.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Boots,Chelsea Boots,Boys,12 Little Kid",Boy's Size 12 Little Kid Chelsea Boots,True
https://www.6pm.com/boys-mid-calf-boots/CK_XARCz1wEY0uwBegKOBYIBA6jsBMABBOICBQECAxgP.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Boots,Mid Calf Boots,Boys,7 Big Kid",Boy's Size 7 Big Kid Mid Calf Boots,True
https://www.6pm.com/boys-mid-calf-boots/CK_XARCz1wEY0uwBegKOBYIBA6bsBMABBOICBQECAxgP.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Boots,Mid Calf Boots,Boys,6 Big Kid",Boy's Size 6 Big Kid Mid Calf Boots,True
https://www.6pm.com/boys-mid-calf-boots/CK_XARCz1wEY0uwBegKOBYIBA6TsBMABBOICBQECAxgP.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/,"Shoes,Boots,Mid Calf Boots,Boys,5 Big Kid",Boy's Size 5 Big Kid Mid Calf Boots,True
